n_iters,area
1,5.742719999999999
3,3.9859199999999997
5,2.7935999999999996
7,2.23488
9,2.0736
11,1.9871999999999999
13,1.83168
15,1.87776
17,1.7798399999999999
19,1.7107199999999998
21,1.7049599999999998
23,1.728
25,1.6761599999999999
27,1.728
29,1.73952
31,1.6128
33,1.65888
35,1.59552
37,1.6243199999999998
39,1.61856
41,1.6358399999999997
43,1.5609600000000001
45,1.5552000000000001
47,1.6128
49,1.5609600000000001
51,1.53216
53,1.59552
55,1.59552
57,1.57248
59,1.5264
61,1.44576
63,1.60704
65,1.59552
67,1.48032
69,1.53216
71,1.44576
73,1.51488
75,1.49184
77,1.57248
79,1.4976
81,1.50336
83,1.51488
85,1.54368
87,1.5609600000000001
89,1.59552
91,1.4976
93,1.60128
95,1.50912
97,1.5264
99,1.40544
101,1.3996799999999998
103,1.48608
105,1.48608
107,1.60128
109,1.52064
111,1.50912
113,1.53216
115,1.5609600000000001
117,1.6128
119,1.57824
121,1.5494400000000002
123,1.50336
125,1.65888
127,1.51488
129,1.584
131,1.52064
133,1.48608
135,1.58976
137,1.5552000000000001
139,1.61856
141,1.48608
143,1.57824
145,1.5264
147,1.49184
149,1.4745599999999999
151,1.4976
153,1.51488
155,1.5667200000000001
157,1.4687999999999999
159,1.5494400000000002
161,1.43424
163,1.57824
165,1.49184
167,1.54368
169,1.5552000000000001
171,1.52064
173,1.4976
175,1.45728
177,1.5494400000000002
179,1.50336
181,1.584
183,1.52064
185,1.60128
187,1.59552
189,1.53216
191,1.48608
193,1.53216
195,1.49184
197,1.48032
199,1.42272
201,1.60128
203,1.50336
205,1.5609600000000001
207,1.42848
209,1.4976
211,1.53792
213,1.5667200000000001
215,1.5609600000000001
217,1.3881599999999998
219,1.43424
221,1.4976
223,1.57248
225,1.5609600000000001
227,1.43424
229,1.48608
231,1.59552
233,1.59552
235,1.4976
237,1.5494400000000002
239,1.48032
241,1.50336
243,1.46304
245,1.52064
247,1.45728
249,1.50912
251,1.4976
253,1.54368
255,1.5609600000000001
